,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
12,b,1.4427806484631553,1.4780420631984268,u,g,m,v,4.283445265576877,t,f,-0.5412592313176405,f,s,-0.43093273889889216,-0.1827731000827898,+
13,a,1.0912320402257323,0.3941378024382224,u,g,q,v,1.6201406272802248,t,t,0.14505415846950548,t,g,-1.0843636015014322,-0.1827731000827898,+
14,a,-0.5220042413253293,-0.4439325022732758,y,p,aa,v,-0.5799805956604883,t,f,-0.5412592313176405,t,g,1.1135402090707478,-0.1827731000827898,+
15,b,-0.8389050300008913,0.5637835489677014,u,g,aa,v,-0.2202414764007085,t,t,-0.31248810138859184,f,g,-0.6091411559723121,1.5632903161589138,+
16,b,0.738838363218507,0.36061499024976246,u,g,aa,bb,0.4235834709440475,t,t,-0.31248810138859184,f,g,-1.0843636015014322,-0.09368823190719267,+
17,b,-1.2749605152184644,-0.9518538990681231,u,g,c,v,-0.6448262738103198,f,f,-0.5412592313176405,f,g,-1.0843636015014322,-0.1827731000827898,+
18,b,1.4292595481463317,0.5891796188074437,u,g,w,h,4.129050793791564,t,t,2.2039943278309435,f,g,-1.0843636015014322,-0.04201900836534634,+
19,a,1.8230615948738298,2.0875477393522432,u,g,c,v,1.0411613580853003,t,t,2.661536587689041,f,g,-1.0843636015014322,0.20920031988983753,+
20,b,-0.6766518261990034,-0.7568120826989018,u,g,c,v,-0.3993390636716718,t,f,-0.5412592313176405,f,s,0.6977205692327677,-0.1827731000827898,+
21,b,-0.5710182299738161,1.6304184822368808,u,g,c,bb,0.8095696504073305,t,t,-0.08371697145954318,f,g,-0.6507231199561101,-0.10366573714285955,+
22,a,2.3165817564379054,-0.05384886953483301,u,g,q,h,0.2815405569015594,t,t,0.8313675482566515,f,g,-0.8289315370295302,-0.08299804772612102,+
23,b,0.23855765149601962,-0.9437271567194057,y,p,m,bb,-0.6448262738103198,t,t,-0.31248810138859184,t,g,0.5789149578504877,0.1735663726195987,+
24,b,-0.9369330072978649,0.6999064833087205,u,g,aa,v,-0.051951502154717145,t,t,2.661536587689041,f,g,-0.7279467673545921,-0.1546222817393011,+
25,b,-0.7256658148474903,-0.9264578292283808,u,g,c,j,0.037597291480764516,f,f,-0.5412592313176405,t,s,-1.0843636015014322,-0.1827731000827898,+
26,b,0.8867253979337694,-0.7649388250476193,u,g,x,v,0.1147945273734211,t,f,-0.5412592313176405,f,g,1.9451794887467075,-0.07587125827207325,+
27,b,-0.9791864457879399,-0.8837924318976136,u,g,q,v,-0.03959994441189208,t,t,-0.08371697145954318,t,g,-0.6091411559723121,-0.1827731000827898,+
28,b,0.1963042130059447,-0.4012671049425086,u,g,m,v,0.6551751786220172,t,t,0.8313675482566515,f,g,0.1274536345978238,-0.1827731000827898,+
29,b,0.27405053982768274,-0.13917966419636735,y,p,i,bb,1.9675281887971794,t,t,1.0601386781857,t,g,0.0739911094757978,-0.1827731000827898,+
30,b,-0.9158062880528275,0.5637835489677014,u,g,k,v,-0.19399441619720528,t,t,-0.31248810138859184,f,g,-0.13391871044319217,-0.14108138177661034,+
31,a,-0.8879190186493782,1.1397664129330585,u,g,cc,h,-0.553733535456985,t,t,-0.31248810138859184,t,g,-0.6091411559723121,-0.1738646132652301,+
32,b,1.696301279403605,1.0717049457625487,u,g,i,bb,-0.6571778315531449,t,t,1.9752231979018946,f,g,-1.0843636015014322,0.03976090061985182,+
33,b,-0.9301724571394531,1.0635782034138315,u,g,e,dd,-0.6571778315531449,t,f,-0.5412592313176405,f,g,-1.0843636015014322,-0.1827731000827898,+
34,a,1.5906676831784177,1.5877530849061137,u,g,aa,v,0.04994884922358958,t,t,0.14505415846950548,t,g,-0.15767983271964817,-0.1827731000827898,+
35,b,0.24616327042423342,0.9030750420266594,u,g,c,v,0.7323724145146739,t,t,2.2039943278309435,t,g,-1.0843636015014322,-0.14339758834917588,+
36,b,-0.691017995285629,1.3764577838394572,u,g,i,v,0.4235834709440475,t,t,1.5176809380437974,f,g,-0.7517078896310482,-0.050571155710203666,+
37,b,0.2951772590727202,2.0875477393522432,u,g,r,n,1.002562740138972,t,t,1.5176809380437974,t,g,-1.0843636015014322,-0.15889835541172975,+
38,a,2.182215822039467,3.0018062535829686,u,g,c,v,1.0411613580853003,t,t,1.0601386781857,f,g,-1.0843636015014322,0.35173610897079294,+
39,a,-0.2608779914566659,-0.8837924318976136,u,g,q,v,-0.4765362995643284,t,t,0.37382528839855417,f,g,-0.6091411559723121,-0.1827731000827898,+
40,b,0.11940295495400859,0.8685363870446099,y,p,w,h,0.9639641221926437,t,f,-0.5412592313176405,t,g,-0.16956039385787616,-0.1827731000827898,+
41,a,-0.7467925340925277,1.3256656441599726,y,p,x,h,-0.4255861238751751,t,t,0.37382528839855417,f,g,-1.0843636015014322,-0.12558061471405643,+
42,b,-0.2896103296299171,-0.6552278033399324,u,g,w,v,-0.03959994441189208,t,t,1.9752231979018946,t,g,1.4937181654940437,-0.176537159310498,+
43,b,1.4639073677081929,-0.9183310868796632,y,p,k,v,-0.5799805956604883,t,t,1.9752231979018946,f,g,1.1729430147618878,0.3039866196286729,+
44,b,-0.38087775676847885,-0.7314160128591594,u,g,x,h,-0.2711916520898619,t,f,-0.5412592313176405,f,g,-1.0843636015014322,0.7611701631058374,+
45,a,0.40081085529790755,-0.7568120826989018,u,g,c,v,-0.03959994441189208,t,t,1.9752231979018946,f,g,-1.0843636015014322,-0.10152770030664522,+
46,a,-1.050172222451266,0.9701206664035793,u,g,w,v,-0.155395798250877,t,t,0.8313675482566515,t,g,-0.8467523787368721,-0.07587125827207325,+
47,b,1.1613727481192564,0.7669521076856404,u,g,cc,h,3.6658673784356246,t,t,-0.31248810138859184,t,g,-0.5616189114194001,0.1735663726195987,+
48,a,2.13320183339098,2.2907162980701825,u,g,j,ff,-0.6571778315531449,t,t,2.8903077176180894,f,g,-1.0843636015014322,-0.13876517520404483,+
49,b,0.9222182862654325,0.0639888945215716,u,g,q,h,3.2798811989723418,t,f,-0.5412592313176405,t,g,-0.5378577891429441,-0.1827731000827898,+
50,b,0.11940295495400859,0.1574464315318235,u,g,q,h,1.0411613580853003,t,t,2.2039943278309435,t,g,1.3392708706970797,-0.004603363731595549,+
51,a,-0.2397512722116284,-0.2488906859040544,u,g,w,v,-0.3993390636716718,t,f,-0.5412592313176405,f,s,0.5789149578504877,-0.1827731000827898,+
52,b,-1.2825661341466783,-0.8076042223783865,u,g,c,v,-0.11679718030454868,t,t,0.6025964183276028,t,g,1.0066151588266956,-0.05983598200046576,+
53,a,-0.5287647914837411,1.5450876875753465,u,g,cc,h,0.4235834709440475,t,t,0.8313675482566515,f,g,1.2917486261441677,-0.10117136083394283,+
54,a,-0.4653846337486287,-0.8583963620578713,u,g,c,h,-0.3869875059288468,t,f,-0.5412592313176405,t,g,1.8323141579335416,-0.1827731000827898,+
55,b,-0.296370879788329,-0.8411270345668465,y,p,cc,v,-0.5799805956604883,t,t,-0.08371697145954318,f,g,0.4601093464682078,-0.09368823190719267,+
56,b,-0.5989054993772654,-0.7822081525386442,u,g,q,v,0.7709710324610022,t,t,-0.08371697145954318,t,g,2.0045822944378475,0.1735663726195987,+
57,b,-1.0214398842780148,0.9701206664035793,u,g,w,v,-0.19399441619720528,t,f,-0.5412592313176405,f,g,-0.3715299332077522,0.2102693383079447,+
58,b,-1.0079187839611912,0.9701206664035793,u,g,q,v,-0.3483888879825185,t,f,-0.5412592313176405,t,g,-0.7279467673545921,-0.1115052055423121,+
59,b,-1.4794671575104272,-0.14730640654508492,y,p,w,v,-0.11679718030454868,t,t,-0.08371697145954318,t,g,-0.3715299332077522,-0.004603363731595549,+
60,b,-0.5287647914837411,1.3256656441599726,u,g,c,v,0.1147945273734211,t,t,3.3478499774761867,f,g,0.10369251232136781,0.03245594142945285,+
61,b,-0.9158062880528275,-0.5871663361694227,u,g,c,v,0.037597291480764516,t,t,-0.31248810138859184,f,g,-0.49033554459003215,-0.15604763963011065,+
62,b,2.0841878447424933,1.3764577838394572,u,g,ff,ff,0.8867668862999871,t,t,0.6025964183276028,f,g,-1.0843636015014322,1.3942072363616305,+
63,b,-0.9158062880528275,0.4621992696087319,u,g,c,v,-0.155395798250877,t,t,0.14505415846950548,f,g,0.10369251232136781,0.0650610031817214,+
64,a,1.5695409639333802,1.80006422876636,u,g,k,h,1.9675281887971794,t,f,-0.5412592313176405,t,g,-1.0843636015014322,-0.1827731000827898,+
65,a,-0.3665115876818532,1.782794901275335,u,g,q,h,0.8867668862999871,t,t,-0.08371697145954318,f,g,-1.0843636015014322,0.7080755816731815,+
66,a,0.09067061678075733,-0.8502696197091537,u,g,cc,v,-0.6448262738103198,t,f,-0.5412592313176405,f,g,1.5293598489087277,1.8086300431145081,+
67,b,-0.9090457378944156,1.0717049457625487,y,p,c,v,0.1147945273734211,t,f,-0.5412592313176405,f,s,-0.8467523787368721,-0.1827731000827898,+
68,b,-0.6834123763574153,-0.9599806414168407,u,g,c,v,-0.6571778315531449,f,f,-0.5412592313176405,f,p,-0.10610081119270708,-0.1827731000827898,+
69,b,0.6754582054833946,0.9701206664035793,u,g,m,v,1.3499503016559267,t,t,2.661536587689041,f,g,0.34130373508592776,0.6380548752871621,+
70,b,2.0909483949009053,1.5796263425573962,u,g,k,h,1.8131337170118662,t,f,-0.5412592313176405,t,g,-0.9417968678426961,0.17855512523743214,+
71,b,0.034896077973858707,-0.7913507376809514,u,g,x,v,-0.24494459188635864,t,t,1.2889098081147488,t,g,0.7155414109401097,0.4034053325126393,+
72,b,0.901091567020395,-0.8746498467553064,u,g,c,h,-0.5923321534033134,t,t,0.8313675482566515,f,g,0.2224981237036478,-0.01386819002185765,+
73,a,0.15405077451586974,-0.020326057346373078,u,g,q,h,-0.155395798250877,t,t,-0.08371697145954318,f,g,-1.0843636015014322,-0.1827731000827898,+
74,b,-0.4865113529936662,-0.8837924318976136,u,g,m,v,-0.5799805956604883,t,t,0.14505415846950548,f,g,0.4601093464682078,2.5090152767110525,+
75,b,0.6822187556418065,0.2336346410510506,u,g,cc,h,2.430711604153119,t,t,2.661536587689041,t,g,1.2858083455750537,-0.1827731000827898,+
76,a,1.3303865020795562,1.6812106219163654,u,g,i,bb,0.9377170619891404,t,t,1.5176809380437974,t,g,-1.0843636015014322,-0.1827731000827898,+
77,b,1.4639073677081929,0.36061499024976246,u,g,q,h,1.1955558298706135,t,f,-0.5412592313176405,t,g,0.9947345976884677,-0.1827731000827898,+
78,a,-0.733271433775704,1.224081364801003,u,g,q,v,-0.5290304199713349,t,t,0.6025964183276028,t,g,-1.0843636015014322,-0.08299804772612102,+
79,a,-0.5287647914837411,-0.7822081525386442,u,g,x,h,-0.3360373302396934,t,f,-0.5412592313176405,t,g,-0.13391871044319217,0.8613015549352085,+
80,b,-0.3386243182784039,-0.6379584758489075,u,g,cc,h,-0.09055012010104545,t,t,2.2039943278309435,t,g,2.3788199702920294,-0.0557380780643883,+
81,b,-0.7256658148474903,-0.4439325022732758,y,p,c,h,0.14104158757692434,t,f,-0.5412592313176405,f,g,-1.0843636015014322,-0.1827731000827898,+
82,b,0.46419101303301996,-0.9345845715770984,y,p,c,v,-0.19399441619720528,f,f,-0.5412592313176405,t,g,0.2937814905330158,-0.16263991987510484,+
83,b,1.9498219103440546,0.4114071299292472,u,g,c,h,0.1533931453197494,t,t,1.9752231979018946,t,g,-1.0843636015014322,-0.13217289495905063,+
84,b,-0.6834123763574153,1.3002695743202302,u,g,x,h,-0.5151349175106568,t,t,-0.31248810138859184,f,g,-0.49033554459003215,-0.1827731000827898,+
85,b,0.05602279721889617,-0.05384886953483301,u,g,cc,h,1.2079073876134385,t,t,0.14505415846950548,f,g,0.7630636554930218,-0.12932217917743152,+
86,a,-0.9090457378944156,1.444519251009967,u,g,c,h,1.1955558298706135,t,f,-0.5412592313176405,f,g,0.9353317919973277,-0.1827731000827898,+
87,a,-1.1558058186764535,0.8685363870446099,u,g,aa,v,-0.23259303414353358,t,f,-0.5412592313176405,t,g,-1.0843636015014322,-0.1827731000827898,+
88,b,0.18954366284753285,-0.6044356636604475,u,g,x,h,0.7323724145146739,t,t,0.37382528839855417,t,g,0.4185273824844098,-0.030081636029816325,+
89,a,1.3658793904112194,0.6653678283266709,u,g,e,bb,1.3499503016559267,t,t,0.8313675482566515,f,g,1.1432416119163178,8.921700427463236,+
90,b,0.823345240198657,-0.9518538990681231,u,g,e,v,-0.6448262738103198,f,t,-0.31248810138859184,f,s,2.2421935172024074,-0.1827731000827898,+
91,a,2.5067222296432425,0.05586215217285403,u,g,aa,v,0.5779779427293606,t,t,0.37382528839855417,f,g,-1.0843636015014322,-0.16513429618402156,+
92,b,-0.9445386262260786,-0.9345845715770984,u,g,q,v,-0.3483888879825185,f,t,-0.31248810138859184,f,g,0.34130373508592776,-0.04593874256507261,+
93,b,0.6686976553249828,-0.62983173350019,u,g,c,v,-0.19399441619720528,t,t,1.746452067972846,f,g,0.02052858435377181,0.6546246607678232,+
94,a,-0.5498915107287786,-0.35047496526302385,u,g,q,h,-0.09055012010104545,t,t,3.805392237334284,f,g,-1.0843636015014322,-0.09368823190719267,+
95,b,-0.6766518261990034,-0.14730640654508492,u,g,c,bb,-0.5799805956604883,t,f,-0.5412592313176405,t,g,-0.13391871044319217,-0.1827731000827898,+
96,b,-0.4653846337486287,-0.8583963620578713,u,g,c,v,-0.20634597394003035,t,t,0.6025964183276028,t,g,0.7690039360621358,-0.1827731000827898,+
97,b,-0.5220042413253293,-0.6125624060091651,u,g,x,v,-0.14304424050805192,t,t,-0.31248810138859184,t,g,1.2620472232985978,-0.1792097053557659,+
98,b,1.3870061096562567,-0.4520592446219934,u,g,m,bb,0.1147945273734211,t,t,2.2039943278309435,t,g,1.3511514318353077,0.2644329381587078,+
99,b,3.563058191895116,2.6462612758265753,u,g,ff,ff,-0.6571778315531449,t,f,-0.5412592313176405,t,g,-1.0843636015014322,-0.1827731000827898,+
100,b,-0.3386243182784039,-0.6217049911514724,u,g,cc,h,0.9130139465034903,t,t,1.5176809380437974,f,g,1.2858083455750537,-0.035426728120352156,+
101,b,0.3306701474043833,-0.4520592446219934,u,g,k,v,0.7323724145146739,t,t,1.0601386781857,f,g,-0.19332151613433218,0.043502465083226895,+
102,b,1.4292595481463317,-0.2488906859040544,u,g,aa,v,0.4235834709440475,t,f,-0.5412592313176405,f,s,0.2819009293947878,-0.1827731000827898,+
103,b,0.25292382058264523,-0.35047496526302385,u,g,cc,h,1.6324921850230498,t,f,-0.5412592313176405,t,g,-1.0843636015014322,-0.1827731000827898,+
104,b,-0.5008775220802918,-0.8421428773604361,u,g,c,v,-0.5676290379176632,t,t,1.0601386781857,t,g,-0.5140966668664881,0.7301686289807295,+
105,a,-0.6766518261990034,0.2336346410510506,u,g,q,v,0.32168311956574075,t,t,1.746452067972846,f,g,-0.3715299332077522,-0.13912151467674722,+
106,a,-0.43749736434517944,0.8004749198741001,u,g,aa,v,-0.2202414764007085,t,f,-0.5412592313176405,f,g,-0.13391871044319217,-0.15604763963011065,+
107,a,-1.056932772609678,0.5637835489677014,u,g,q,v,0.17964020552325263,t,t,0.6025964183276028,f,g,-0.10610081119270708,4.578991273639227,+
108,b,1.3870061096562567,-0.9010617593886384,u,g,c,bb,3.974656322006251,t,t,4.034163367263333,f,g,-1.0843636015014322,2.489772945185124,+
109,b,-0.7966515915108164,1.2748735044804878,u,g,x,v,-0.5676290379176632,t,t,0.8313675482566515,f,g,-0.36558965263863813,-0.1827731000827898,+
110,b,0.5343317209265442,-0.9599806414168407,u,g,c,v,-0.6571778315531449,f,f,-0.5412592313176405,f,p,-0.10610081119270708,-0.1827731000827898,+
111,a,0.8512325096021063,-0.7568120826989018,u,g,i,bb,0.037597291480764516,t,f,-0.5412592313176405,t,g,-1.0843636015014322,-0.12932217917743152,+
112,a,-0.04961079900629118,1.4780420631984268,u,g,c,v,-0.03959994441189208,t,t,-0.31248810138859184,f,g,0.2224981237036478,-0.1793878750921171,+
113,a,-0.0005968103578043906,-0.19809854622456965,u,g,cc,h,-0.4641847418215034,t,t,1.5176809380437974,t,g,-0.009172818491798188,-0.1827731000827898,+
114,b,0.5208106206097205,-0.5455167816322453,u,g,w,v,-0.6448262738103198,t,f,-0.5412592313176405,t,g,1.2917486261441677,0.8506113707541368,+
115,b,1.7951743254703805,0.36061499024976246,u,g,k,v,1.2851046235060952,t,t,2.8903077176180894,f,g,-1.0843636015014322,1.813084286523288,+
116,a,-0.9234119069810413,1.0717049457625487,u,g,c,h,-0.3483888879825185,t,t,0.37382528839855417,f,g,-0.7873495730457322,0.07824556367170978,+
117,a,2.287849418264654,1.0717049457625487,u,g,q,v,0.5779779427293606,t,t,2.661536587689041,f,g,-1.0843636015014322,0.10265481755182339,+
118,b,-1.0780594918547153,-0.5536435239809628,u,g,i,v,-0.19399441619720528,t,t,-0.08371697145954318,f,g,-0.3715299332077522,-0.12932217917743152,+
119,b,-0.16961056431810415,2.044882342021476,u,g,aa,v,0.8991184440428122,t,t,0.6025964183276028,t,g,-0.08639646589028017,-0.1827731000827898,+
120,b,0.3306701474043833,-0.04572212718611545,u,g,x,h,1.1183585939779568,f,f,-0.5412592313176405,t,s,3.1391758831386216,-0.1827731000827898,+
121,a,-1.0425666035230523,0.9193285267240946,y,p,c,v,-0.3483888879825185,t,t,0.37382528839855417,t,g,-0.6091411559723121,-0.09368823190719267,+
122,b,-0.3031314299467408,1.8335870409548196,u,g,w,v,1.1183585939779568,t,f,-0.5412592313176405,t,g,1.8085530356570856,-0.09368823190719267,+
123,b,-0.7256658148474903,1.1732892251215183,u,g,q,h,-0.24494459188635864,t,f,-0.5412592313176405,f,g,-0.49033554459003215,-0.1827731000827898,+
124,b,1.9151740907821935,0.9955167362433217,u,g,e,v,2.0184783644863327,t,t,0.6025964183276028,f,g,-1.0843636015014322,-0.1827731000827898,+
125,b,-1.0003131650329773,0.36061499024976246,u,g,w,h,-0.20634597394003035,t,t,1.0601386781857,f,g,-0.6091411559723121,0.343540301098638,+
126,a,2.7737639609005162,-0.9264578292283808,u,g,ff,ff,-0.6571778315531449,t,t,-0.31248810138859184,f,g,0.2937814905330158,-0.16495612644767038,+
127,b,0.9501055556688818,0.03859282468182922,y,p,w,v,0.3201391748478877,t,f,-0.5412592313176405,t,g,-0.7754690119075042,0.07414765973563231,+
128,b,-0.09186423749636612,0.36061499024976246,u,g,cc,v,0.3077876171050626,t,t,1.2889098081147488,f,g,0.8759289863061878,0.0310305835386433,+
129,b,-0.3876383069268907,-0.09651426686560019,u,g,cc,v,0.6675267363648424,t,t,-0.31248810138859184,t,g,-0.3715299332077522,-0.1827731000827898,+
130,b,2.1543285526360174,1.5288342028779114,u,g,m,v,-0.2711916520898619,t,t,0.37382528839855417,t,g,0.10369251232136781,-0.1827731000827898,+
131,b,0.24616327042423342,0.10665429185233877,u,g,w,v,-0.6309307713496416,f,f,-0.5412592313176405,t,g,0.6383177635416277,-0.18170408166468263,+
132,b,1.457146817549781,-0.09651426686560019,u,g,m,v,-0.6185792136068166,t,f,-0.5412592313176405,t,g,0.2521995265492178,-0.1827731000827898,+
133,b,2.139962383549392,2.79863769486503,u,g,d,bb,3.974656322006251,t,t,3.3478499774761867,t,g,-1.0843636015014322,-0.1827731000827898,+
134,b,-0.8667922994043407,-0.35047496526302385,y,p,d,v,-0.32214182777901523,t,t,1.2889098081147488,t,g,-0.13391871044319217,-0.1825949303464386,+
135,a,-0.6622856571123779,-0.799477480029669,y,p,q,v,-0.19399441619720528,t,t,-0.08371697145954318,t,g,-0.6091411559723121,-0.1115052055423121,+
136,b,-0.4653846337486287,-0.8076042223783865,u,g,c,bb,-0.5799805956604883,t,f,-0.5412592313176405,f,g,0.9887943171193537,-0.17867519614671232,+
137,a,1.3515132213245937,-0.8076042223783865,u,g,q,h,0.1919917632660777,t,t,-0.31248810138859184,f,g,0.8937498280135298,-0.023845695257524526,+
138,b,0.9991195443173686,-0.8837924318976136,y,p,c,v,-0.54138197771416,t,t,1.2889098081147488,t,g,0.6977205692327677,-0.15390960279389632,+
139,b,-0.44425791450359126,-0.7568120826989018,u,g,q,v,-0.11679718030454868,t,f,-0.5412592313176405,t,g,0.5789149578504877,-0.1827731000827898,+
140,a,0.8377114092852825,0.36061499024976246,u,g,q,v,-0.5027833597678316,t,t,0.14505415846950548,t,g,-0.22302291897990217,-0.1827731000827898,+
141,b,0.9779928250723311,-0.020326057346373078,u,g,q,v,0.757075530000324,t,f,-0.5412592313176405,f,s,-1.0843636015014322,-0.1827731000827898,+
142,b,0.9078521171788069,-0.9183310868796632,u,g,i,h,0.9253655042463154,t,f,-0.5412592313176405,f,g,1.2917486261441677,-0.1827731000827898,+
143,b,0.6610920363967691,0.259030710890793,u,g,m,v,-0.2588400943470368,t,t,0.6025964183276028,t,g,-0.44281330003712016,0.012679100694470292,+
144,b,-0.09186423749636612,-0.8583963620578713,u,g,c,v,-0.11679718030454868,t,t,1.9752231979018946,f,g,-0.8942746232897841,-0.0865614424531449,+
145,b,-0.3597510375234414,-0.6552278033399324,y,p,w,v,-0.54138197771416,t,f,-0.5412592313176405,t,g,0.4601093464682078,0.006977669131232077,+
146,a,-1.050172222451266,0.9782474087522967,u,g,aa,v,-0.6309307713496416,t,f,-0.5412592313176405,f,g,-0.49033554459003215,-0.1827731000827898,+
147,b,-0.6200322186223028,-0.6552278033399324,u,g,d,h,-0.07819856235822038,t,t,0.8313675482566515,f,g,0.10369251232136781,-0.12451159629594928,+
148,b,-1.1203129303447903,-0.9264578292283808,u,g,q,n,-0.5923321534033134,f,f,-0.5412592313176405,f,g,0.10369251232136781,-0.17564631062874203,+
149,a,0.5909513285032447,0.259030710890793,u,g,k,v,-0.3483888879825185,t,f,-0.5412592313176405,t,g,-1.0843636015014322,-0.1827731000827898,+
150,b,-0.14172329491465482,-0.04572212718611545,u,g,w,v,1.658739245226553,t,t,-0.08371697145954318,t,g,0.8759289863061878,-0.1827731000827898,+
151,b,0.9078521171788069,1.0290395484317814,u,g,x,h,1.8007821592690412,t,t,1.2889098081147488,f,g,-1.0843636015014322,-0.1827731000827898,+
152,b,0.7320778130600952,0.3016961082215602,u,g,q,v,-0.6448262738103198,t,t,-0.31248810138859184,f,g,0.10369251232136781,-0.12932217917743152,+
153,a,3.1616505262394043,2.0875477393522432,u,g,e,z,-0.6571778315531449,t,t,2.661536587689041,f,g,-1.0843636015014322,0.418727929838842,+
154,a,0.37968413605287005,-0.7740814101899266,u,g,aa,v,-0.4255861238751751,t,t,0.37382528839855417,f,g,-1.0843636015014322,0.0992695925611507,+
155,b,2.4357364529799166,1.9859634599932738,u,g,ff,ff,4.90102315271813,t,t,2.8903077176180894,t,g,-1.0843636015014322,-0.004603363731595549,+
156,a,-0.0639769680929168,0.36061499024976246,u,g,c,bb,0.5779779427293606,t,t,1.0601386781857,t,g,-1.0843636015014322,0.36331714183362057,+
157,b,0.24616327042423342,-0.6471010609912148,u,g,cc,v,-0.18164285845438022,t,t,-0.31248810138859184,t,g,2.0045822944378475,8.725713717476923,+
158,b,-0.11299095674140358,-0.5871663361694227,u,g,c,h,0.6814222388255206,t,f,-0.5412592313176405,f,g,0.4601093464682078,-0.14713915281255094,+
159,a,-0.1484838450730667,-0.8665231044065889,u,g,k,v,-0.4904318020250066,t,t,0.37382528839855417,f,g,1.1729430147618878,-0.09368823190719267,+
160,b,-0.9369330072978649,0.9193285267240946,u,g,c,v,-0.14304424050805192,t,t,0.14505415846950548,t,g,-0.8467523787368721,-0.17778434746495636,+
161,b,-0.7121447145306665,-0.35047496526302385,u,g,m,v,-0.2588400943470368,t,t,-0.31248810138859184,f,g,0.4601093464682078,-0.0402373110018344,+
162,a,-1.050172222451266,-0.06299145467714025,y,p,c,h,0.2691889991587343,t,f,-0.5412592313176405,f,g,0.34130373508592776,-0.1827731000827898,+
163,a,-0.5710182299738161,-0.8583963620578713,u,g,q,h,-0.19399441619720528,t,f,-0.5412592313176405,f,g,0.5789149578504877,-0.03596123732940574,+
164,b,0.08391006662234549,-0.9264578292283808,y,p,c,h,0.3463862350513909,t,t,-0.31248810138859184,t,g,1.4818376043558157,1.2425847907267642,+
165,b,1.7039068983318189,-0.9518538990681231,u,g,x,h,-0.6448262738103198,t,f,-0.5412592313176405,f,g,-1.0843636015014322,0.35173610897079294,+
166,b,-0.6834123763574153,-0.9599806414168407,u,g,cc,v,-0.6309307713496416,t,f,-0.5412592313176405,f,g,-1.0843636015014322,-0.1827731000827898,+
167,b,2.4010886334180555,-0.6471010609912148,u,g,q,v,-0.6185792136068166,t,f,-0.5412592313176405,t,g,0.4601093464682078,-0.1827731000827898,+
168,b,-0.25411744129825403,-0.7822081525386442,u,g,m,v,-0.36074044572534353,t,t,0.14505415846950548,t,g,1.2679875038677118,-0.1827731000827898,+
169,b,-0.2896103296299171,-0.6471010609912148,u,g,w,v,0.5007807068367041,t,t,0.6025964183276028,t,g,-0.49033554459003215,-0.1822385908737362,+
170,b,-0.5431309605703668,-0.4012671049425086,u,g,c,v,0.037597291480764516,t,t,0.8313675482566515,f,g,-0.10610081119270708,-0.07587125827207325,+
171,a,-0.7467925340925277,0.19096924372028343,u,g,q,v,0.14104158757692434,t,t,1.0601386781857,f,g,-0.31806740808572614,0.3975257312130499,+
172,b,-1.0214398842780148,-0.9599806414168407,y,p,m,bb,-0.6571778315531449,f,f,-0.5412592313176405,t,s,1.8857766830555676,-0.1825949303464386,+
173,b,-1.1625663688348653,3.509727650377816,l,gg,ff,o,-0.6571778315531449,f,f,-0.5412592313176405,t,p,1.5887626545998677,17.634200535036634,+
174,b,-0.4298917454169656,-0.909188501737356,u,g,i,bb,-0.6571778315531449,t,f,-0.5412592313176405,t,g,-1.0843636015014322,-0.1827731000827898,+
